Country,date,total_cases_per_million,total_deaths_per_million,GDP_per_capita,GDP_Status,median_age,prop_death
Afghanistan,2022-04-25,4343.626,186.755,1803.987,Lowest,18.6,7.291989322861158e-4
Albania,2022-04-25,96641.192,1229.982,11803.431,Low,38,0.004802557153121155
Algeria,2022-04-25,5918.528,153.085,13913.839,Low,29.1,5.977318869589572e-4
American Samoa,2022-04-25,130150.13,519.246,NA,NA,NA,0.00202743502874802
Andorra,2022-04-25,513670.579,1916.261,NA,NA,NA,0.007482185083031377
Angola,2022-04-25,2790.694,53.387,5819.495,Lowest,16.8,2.084535535753199e-4
Anguilla,2022-04-25,172009.826,566.858,NA,NA,NA,0.0022133396608275176
Antigua and Barbuda,2022-04-25,80738.387,1439.662,21490.943,Average,32.1,0.005621268470739173
Argentina,2022-04-25,199344.439,2824.458,18933.907,Low,31.9,0.011028308521255005
Armenia,2022-04-25,152069.505,3100.912,8787.58,Lowest,35.7,0.01210774393999199
Aruba,2022-04-25,323561.183,1991.377,35973.781,High,41.2,0.0077754811500582504
Asia,2022-04-25,31042.526,301.171,NA,NA,NA,0.0011759448027391063
Australia,2022-04-25,210815.852,290.097,44648.71,High,37.9,0.0011327055375192382
Austria,2022-04-25,460260.21,2187.566,45436.686,High,44.4,0.008541515844316935
Azerbaijan,2022-04-25,76508.016,937.143,15847.419,Low,32.4,0.003659145270538446
Bahamas,2022-04-25,81619.263,1924.442,27717.847,Average,34.3,0.007514128412340003
Bahrain,2022-04-25,384333.501,1001.877,43290.705,High,32.4,0.0039119040383498
Bangladesh,2022-04-25,11406.025,170.148,3523.984,Lowest,27.5,6.64355652756917e-4
Barbados,2022-04-25,237212.671,1377.616,16978.068,Low,39.8,0.005379005200933147
Belarus,2022-04-25,102510.594,725.96,17167.967,Low,40.3,0.002834565376468789
Belgium,2022-04-25,346421.901,2686.36,42658.576,High,41.8,0.010489094502080963
Belize,2022-04-25,141675.611,1667.962,7824.362,Lowest,25,0.006512682977664932
Benin,2022-04-25,1992.456,12.207,2064.236,Lowest,18.8,4.7663148865715064e-5
Bermuda,2022-04-25,206394.941,2040.276,50669.315,High,NA,0.007966410970356818
Bhutan,2022-04-25,73832.811,25.561,8708.597,Lowest,28.6,9.980484542938828e-5
Bolivia,2022-04-25,73969.533,1792.032,6885.829,Lowest,25.4,0.006997123616623666
Bonaire Sint Eustatius and Saba,2022-04-25,354539.406,1256.839,NA,NA,NA,0.00490742232794597
Bosnia and Herzegovina,2022-04-25,116526.211,4873.93,11713.895,Low,42.5,0.019030625964698504
Botswana,2022-04-25,116364.673,1022.317,15807.374,Low,25.8,0.003991713554431984
Brazil,2022-04-25,140904.757,3077.173,14103.452,Low,33.5,0.012015053230487344
British Virgin Islands,2022-04-25,200944.721,1978.808,NA,NA,NA,0.007726404544987949
Brunei,2022-04-25,314294.814,224.943,71809.251,High,32.4,8.783068481445518e-4
Bulgaria,2022-04-25,169994.05,5433.389,18563.307,Low,44.7,0.021215075673985312
Burkina Faso,2022-04-25,920.227,16.892,1703.102,Lowest,17.6,6.595608344717448e-5
Burundi,2022-04-25,3036.871,1.164,702.225,Lowest,17.5,4.544925475521613e-6
Cambodia,2022-04-25,8123.641,182.254,3645.07,Lowest,25.6,7.116244395324021e-4
Cameroon,2022-04-25,4293.461,69.032,3364.926,Lowest,18.8,2.6954063180945704e-4
Canada,2022-04-25,95990.548,1007.767,44017.591,High,41.4,0.003934901985987963
Cape Verde,2022-04-25,94416.028,676.038,6222.554,Lowest,25.7,0.0026396411757909624
Cayman Islands,2022-04-25,316565.292,392.887,49903.029,High,NA,0.0015340568172691237
Central African Republic,2022-04-25,2572.794,20.254,661.24,Lowest,18.3,7.908326510413639e-5
Chad,2022-04-25,417.303,10.89,1768.153,Lowest,16.7,4.252082339212231e-5
Chile,2022-04-25,180805.485,2926.738,22767.037,Average,35.4,0.011427668467677985
China,2022-04-25,713.353,10.436,15308.712,Low,38.7,4.074814627366285e-5
Colombia,2022-04-25,117415.27,2694.316,13254.949,Low,32.2,0.010520159301980662
Comoros,2022-04-25,9685.904,191.208,1413.89,Lowest,20.4,7.465860054325916e-4
Congo,2022-04-25,4024.668,64.484,4881.406,Lowest,19,2.517826240236561e-4
Cook Islands,2022-04-25,277536.402,58.713,NA,NA,NA,2.2924932082843684e-4
Costa Rica,2022-04-25,163638.455,1618.079,15524.995,Low,33.6,0.006317911055417986
Cote d'Ivoire,2022-04-25,2907.862,28.373,3601.006,Lowest,18.7,1.1078451075341472e-4
Croatia,2022-04-25,277189.81,3914.786,22669.797,Average,44,0.015285576136267487
Cuba,2022-04-25,98239.97,760.154,NA,NA,43.1,0.0029680784191749624
Curacao,2022-04-25,218278.732,1417.564,NA,NA,41.7,0.005534985169056976
Cyprus,2022-04-25,524905.497,1122.759,32415.132,Average,37.3,0.0043838968917278105
Czechia,2022-04-25,397445.681,3830.097,32605.906,Average,43.3,0.014954901571322083
Democratic Republic of Congo,2022-04-25,880.222,13.504,808.133,Lowest,17,5.272738283629198e-5
Denmark,2022-04-25,528540.821,1032.256,46682.515,High,42.3,0.0040305211268557035
Djibouti,2022-04-25,13927.81,168.622,2705.406,Lowest,25.4,6.583972710768089e-4
Dominica,2022-04-25,165383.875,865.884,9673.367,Lowest,NA,0.0033809091498681757
Dominican Republic,2022-04-25,51570.775,389.711,14600.861,Low,27.6,0.0015216558865902092
Ecuador,2022-04-25,48222.482,1976.612,10581.936,Low,28.1,0.00771783009795681
Egypt,2022-04-25,4626.251,221.695,10550.206,Low,25.3,8.656247880547801e-4
El Salvador,2022-04-25,25580.642,651.317,7292.458,Lowest,27.6,0.002543116173488239
England,2022-04-25,NA,NA,NA,NA,NA,NA
Eritrea,2022-04-25,2642.207,27.958,1510.459,Lowest,19.3,1.0916411206583613e-4
Estonia,2022-04-25,418801.807,1821.179,29481.252,Average,42.7,0.0071109302685437945
Eswatini,2022-04-25,58488.117,1162.539,7738.975,Lowest,21.5,0.004539220891226306
Ethiopia,2022-04-25,3812.751,60.869,1729.927,Lowest,19.8,2.3766758485354388e-4
European Union,2022-04-25,299169.844,2408.168,NA,NA,NA,0.009402872931731901
Faeroe Islands,2022-04-25,652484.139,527.138,NA,NA,NA,0.0020582499358380688
Falkland Islands,2022-04-25,39989.476,NA,NA,NA,NA,NA
Fiji,2022-04-25,69397.883,927.112,8702.975,Lowest,28.6,0.0036199784772008537
Finland,2022-04-25,191823.482,825.882,40585.721,High,42.8,0.0032247183346862033
France,2022-04-25,423449.042,2257.228,38605.671,High,42,0.008813516358471392
French Guiana,2022-04-25,264052.691,1293.636,NA,NA,25.3,0.005051098979769654
French Polynesia,2022-04-25,237283.377,2115.628,NA,NA,32.7,0.008260628517119279
Gabon,2022-04-25,19923.424,126.831,16562.413,Low,23.1,4.952211709500702e-4
Gambia,2022-04-25,4432.75,134.886,1561.767,Lowest,17.5,5.266725237896979e-4
Georgia,2022-04-25,441796.183,4473.365,9745.079,Lowest,38.7,0.017466589819421598
Germany,2022-04-25,292147.412,1687.997,45229.245,High,46.6,0.006590911140811046
Ghana,2022-04-25,4814.572,43.165,4227.63,Lowest,21.1,1.6854098638392648e-4
Gibraltar,2022-04-25,543409.738,3090.859,NA,NA,NA,0.01206849124600108
Greece,2022-04-25,316858.148,2792.882,24574.382,Average,45.3,0.010905017656293604
Greenland,2022-04-25,211898.609,371.721,NA,NA,NA,0.0014514125796274654
Grenada,2022-04-25,115001.714,1753.561,13593.877,Low,29.4,0.006846910705997556
Guadeloupe,2022-04-25,372969.108,2380.218,NA,NA,43.4,0.00929374005626727
Guam,2022-04-25,235011.613,2054.918,NA,NA,31.4,0.00802358175971471
Guatemala,2022-04-25,47150.025,980.502,7423.808,Lowest,22.9,0.003828443744501626
Guernsey,2022-04-25,382147.2,615.832,NA,NA,NA,0.0024045623242623937
Guinea,2022-04-25,2637.137,31.892,1998.926,Lowest,19,1.2452471070905093e-4
Guinea-Bissau,2022-04-25,3887.765,81.213,1548.675,Lowest,19.4,3.171022617212515e-4
Guyana,2022-04-25,78403.466,1518.436,7435.047,Lowest,26.3,0.0059288474736676425
Haiti,2022-04-25,2646.439,72.076,1653.173,Lowest,24.3,2.8142615856846715e-4
Honduras,2022-04-25,40501.366,1044.105,4541.795,Lowest,24.9,0.004076786437817435
Hong Kong,2022-04-25,NA,NA,56054.92,High,44.8,NA
Hungary,2022-04-25,189715.594,4619.905,26777.561,Average,43.4,0.018038766262018623
Iceland,2022-04-25,476544.839,294.983,46482.958,High,37.3,0.001151783291706007
India,2022-04-25,30382.699,368.475,6426.674,Lowest,28.2,0.0014387383286879954
Indonesia,2022-04-25,21938.731,566.603,11188.744,Low,29.3,0.0022123439941640656
Iran,2022-04-25,81484.65,1591.881,19082.62,Low,32.4,0.006215618995617544
Iraq,2022-04-25,52232.437,566.431,15663.986,Low,20,0.00221167240723813
Ireland,2022-04-25,303307.833,1454.478,67335.293,High,38.7,0.0056791186561733036
Isle of Man,2022-04-25,374594.838,1159.297,NA,NA,NA,0.004526562258587439
Israel,2022-04-25,429393.692,1137.263,33132.32,Average,30.6,0.004440528849714893
Italy,2022-04-25,272355.988,2754.335,35220.084,High,47.9,0.010754507997956034
Jamaica,2022-04-25,45798.198,1040.892,8193.571,Lowest,31.4,0.004064241037857941
Japan,2022-04-25,61798.364,236.447,39002.223,High,48.2,9.232250806792602e-4
Jersey,2022-04-25,446965.594,1110.148,NA,NA,NA,0.004334656294501174
Jordan,2022-04-25,150253.746,1246.159,8337.49,Lowest,23.2,0.004865721465335514
Kazakhstan,2022-04-25,71881.078,980.153,24055.588,Average,30.6,0.003827081047774
Kenya,2022-04-25,5991.321,104.558,2993.028,Lowest,20,4.0825456861648526e-4
Kiribati,2022-04-25,23438.512,99.057,1981.132,Lowest,23.2,3.8677550071197975e-4
Kosovo,2022-04-25,127887.37,1755.218,9795.834,Lowest,NA,0.006853380587022419
Kuwait,2022-04-25,147909.548,598.517,65530.537,High,33.7,0.0023369546055264346
Kyrgyzstan,2022-04-25,12499.583,154.435,3393.474,Lowest,26.3,6.030030634125261e-4
Laos,2022-04-25,27262.186,89.116,6397.36,Lowest,24.4,3.4796011913795885e-4
Latvia,2022-04-25,441634.687,3436.083,25063.846,Average,43.9,0.013416444297858017
Lebanon,2022-04-25,199703.301,1889.888,13367.565,Low,31.1,0.007379209722579545
Lesotho,2022-04-25,14360.581,302.278,2851.153,Lowest,22.2,0.0011802671674310328
Liberia,2022-04-25,1401.93,55.444,752.788,Lowest,19.2,2.1648526466049858e-4
Libya,2022-04-25,73675.669,943.875,17881.509,Low,29,0.0036854308704535764
Liechtenstein,2022-04-25,433972.812,2083.598,NA,NA,NA,0.008135564975039417
Lithuania,2022-04-25,416646.122,3298.112,29524.265,Average,43.5,0.012877726159728126
Luxembourg,2022-04-25,397683.141,1287.83,94277.965,High,39.7,0.005028429016444157
Macao,2022-04-25,NA,NA,104861.851,High,39.2,NA
Madagascar,2022-04-25,2166.44,46.975,1416.44,Lowest,19.6,1.8341741770844312e-4
